postcode,state,total_population,demographic_score,pct_professional,pct_high_income_hh,median_hh_income_weekly,pct_degree,seifa_irsad_decile,pct_wfh,median_age,avg_household_size,unemployment_pct,labour_force_participation_pct,median_rent_weekly,rank
2150,NSW,36286,66.06,49.31,33.68,2059.36,53.71,8.52,45.54,32.33,2.45,7.22,67.06,431.65,138
2614,ACT,20588,66.02,53.09,42.66,2491.19,48.22,8.9,12.29,40.53,2.54,4.01,63.16,455.78,139
2122,NSW,31530,66.0,51.08,35.78,2005.38,46.75,9.0,43.57,40.08,2.73,5.63,58.25,512.54,140
2135,NSW,28054,65.78,46.38,43.18,2445.2,44.41,8.95,33.7,36.81,2.88,6.47,62.15,550.91,141
2118,NSW,30394,65.75,49.55,37.85,2139.05,44.79,8.84,43.55,40.17,3.02,5.15,59.04,557.9,142
2035,NSW,34636,65.51,50.32,41.11,2309.45,39.34,8.58,40.88,40.86,2.54,4.98,61.05,603.05,143
4007,QLD,17457,65.3,52.52,40.53,2524.58,40.58,8.93,24.45,40.12,2.18,4.09,68.56,467.64,144
4011,QLD,18022,65.13,51.45,39.98,2402.52,43.43,8.97,25.15,38.04,2.36,4.11,71.4,411.7,145
4030,QLD,19837,64.97,51.1,39.25,2417.16,44.65,8.99,24.01,34.26,2.32,3.96,74.8,399.88,146
2618,ACT,1392,64.82,48.34,52.88,2912.44,31.64,8.3,19.37,43.9,3.02,2.96,67.89,429.42,147
4070,QLD,12097,64.74,48.26,46.44,2537.94,38.93,8.68,25.06,40.65,2.99,4.6,68.81,475.72,148
4067,QLD,12263,64.44,49.24,32.83,2302.01,47.52,9.93,26.39,28.87,2.47,10.7,60.6,452.01,149
2102,NSW,8505,64.2,44.03,50.01,2772.44,30.63,8.29,37.27,41.8,2.95,2.55,65.74,841.78,150
2174,NSW,12076,64.19,42.41,51.66,2642.16,37.53,7.76,35.81,30.67,3.51,5.25,66.53,554.83,151
4152,QLD,49761,64.12,49.73,45.31,2530.42,39.14,8.37,22.68,39.25,2.69,3.95,70.11,493.34,152
4101,QLD,35560,64.07,53.67,32.72,1951.69,48.82,9.5,23.32,33.44,2.1,6.65,68.2,445.16,153
2606,ACT,12062,64.06,51.02,38.11,2373.61,50.98,9.14,10.17,36.58,2.22,3.37,72.37,483.37,154
4059,QLD,14033,63.89,50.32,34.65,2082.24,49.32,9.5,23.26,30.58,2.34,6.56,72.97,418.4,155
2300,NSW,12863,63.85,54.23,33.61,1962.31,43.58,9.16,30.35,38.78,2.0,4.37,68.59,430.43,156
2082,NSW,5935,63.82,46.59,46.13,2455.79,32.66,8.23,40.73,43.14,2.9,3.03,66.43,534.79,157
2159,NSW,5435,63.02,48.35,45.42,2493.69,28.89,8.19,38.01,46.49,2.98,3.08,59.78,479.15,158
2621,NSW,7289,62.68,44.82,54.92,2932.64,30.35,8.11,14.43,41.02,2.85,2.63,73.03,515.6,159
2230,NSW,30789,62.42,46.73,43.12,2501.38,31.15,8.32,37.78,43.4,2.43,2.98,65.68,666.57,160
2221,NSW,17144,62.37,46.81,43.0,2415.56,32.7,8.14,39.06,42.86,2.99,4.19,57.11,600.34,161
2131,NSW,24082,62.26,48.53,32.53,1955.65,44.23,8.61,42.16,38.3,2.34,6.1,63.01,442.98,162
2234,NSW,30628,62.16,42.46,51.61,2812.75,27.22,7.54,37.57,41.73,3.09,3.0,66.2,663.97,163
4103,QLD,15593,62.07,50.44,34.88,2027.01,46.9,9.01,21.2,33.11,2.32,5.49,74.27,382.04,164
2151,NSW,21852,62.02,48.42,35.72,2027.8,39.48,8.27,44.0,39.22,2.64,5.31,60.5,474.72,165
4169,QLD,17012,61.99,50.85,34.87,2045.0,44.42,9.1,22.25,37.03,2.0,5.05,72.28,444.48,166
2904,ACT,13180,61.95,47.62,49.86,2679.56,34.08,8.29,10.65,42.16,2.7,3.3,64.79,504.65,167
4031,QLD,14997,61.9,48.65,41.17,2350.81,40.12,8.37,22.18,35.42,2.46,3.9,75.82,389.29,168
4105,QLD,14692,61.84,50.01,39.15,2178.76,42.24,8.5,21.64,36.9,2.43,4.56,70.31,403.21,169
4010,QLD,4456,61.81,48.89,37.13,2305.56,41.99,8.91,21.52,35.76,2.08,4.6,74.78,439.14,170
2913,ACT,39352,61.7,44.32,47.34,2666.5,40.72,8.5,10.27,35.37,2.85,3.66,74.88,493.41,171
