postcode,region_name,market_share_pct,market_size_dollars,customer_penetration_pct,spend_per_customer,spend_per_transaction,transactions_per_customer,nearest_store,distance_km,distance_tier,yoy_share_pct,share_trend_pp,period,yoy_period
2320,Rutherford,0.586,85492.0,2.101,144.32,111.41,1.3,Cooks Hill,30.22,No Presence (20km+),0.395,0.191,202512,202412
2321,Gillieston Heights,0.485,41441.0,1.563,163.04,109.07,1.49,Cooks Hill,32.64,No Presence (20km+),0.361,0.124,202512,202412
2322,Thornton (NSW),0.559,48970.0,1.962,128.94,89.01,1.45,Cooks Hill,17.33,Extended (10-20km),0.623,-0.064,202512,202412
2323,East Maitland,0.451,39282.0,2.323,93.43,68.95,1.35,Cooks Hill,50.83,No Presence (20km+),0.41,0.041,202512,202412
2324,Raymond Terrace,0.486,46977.0,1.697,141.29,98.36,1.44,Cooks Hill,26.42,No Presence (20km+),0.579,-0.093,202512,202412
2325,Cessnock,0.493,56764.0,1.57,154.91,96.04,1.61,Cooks Hill,44.04,No Presence (20km+),0.461,0.032,202512,202412
2326,Weston (NSW),,,,,,,Cooks Hill,27.13,No Presence (20km+),,,202512,202412
2327,Kurri Kurri,,,,,,,Cooks Hill,22.28,No Presence (20km+),0.243,,202512,202412
2328,Denman,,,,,,,Cooks Hill,117.79,No Presence (20km+),0.377,,202512,202412
2329,Merriwa (NSW),,,,,,,Orange,160.58,No Presence (20km+),,,202512,202412
2330,Singleton (NSW),0.408,32354.0,1.553,136.37,101.25,1.35,Cooks Hill,63.86,No Presence (20km+),0.365,0.043,202512,202412
2333,Muswellbrook,0.225,10477.0,0.969,116.9,92.93,1.26,Cooks Hill,114.11,No Presence (20km+),0.31,-0.085,202512,202412
2334,Greta (NSW),0.353,5325.0,1.505,122.66,104.21,1.18,Cooks Hill,40.83,No Presence (20km+),,,202512,202412
2335,North Rothbury,0.358,16819.0,1.894,117.18,93.04,1.26,Cooks Hill,40.91,No Presence (20km+),0.393,-0.035,202512,202412
2336,Aberdeen (NSW),0.419,4618.0,1.672,126.92,117.85,1.08,Cooks Hill,112.21,No Presence (20km+),0.337,0.082,202512,202412
2337,Scone,0.163,5162.0,1.229,78.96,65.63,1.2,Cooks Hill,128.4,No Presence (20km+),0.291,-0.128,202512,202412
2338,Murrurundi,,,,,,,Cooks Hill,152.34,No Presence (20km+),,,202512,202412
2339,Willow Tree,,,,,,,Cooks Hill,171.47,No Presence (20km+),,,202512,202412
2340,North Tamworth,0.121,22871.0,0.672,86.32,70.41,1.23,Cooks Hill,204.65,No Presence (20km+),0.097,0.024,202512,202412
2341,Werris Creek,,,,,,,Cooks Hill,203.69,No Presence (20km+),,,202512,202412
2342,Currabubula,,,,,,,Cooks Hill,216.5,No Presence (20km+),,,202512,202412
2343,Quirindi,0.331,7096.0,1.085,165.7,132.57,1.25,Cooks Hill,200.79,No Presence (20km+),0.246,0.085,202512,202412
2345,Attunga,,,,,,,Cooks Hill,242.59,No Presence (20km+),,,202512,202412
2347,Barraba,,,,,,,Cooks Hill,316.96,No Presence (20km+),,,202512,202412
2350,Armidale,0.11,8972.0,0.504,91.96,87.15,1.06,Cooks Hill,280.06,No Presence (20km+),0.156,-0.046,202512,202412
2353,Moonbi,,,,,,,Cooks Hill,224.28,No Presence (20km+),,,202512,202412
2354,Walcha,,,,,,,Cooks Hill,215.42,No Presence (20km+),,,202512,202412
2355,Bendemeer,,,,,,,Cooks Hill,253.29,No Presence (20km+),,,202512,202412
2357,Coonabarabran,,,,,,,Orange,228.09,No Presence (20km+),,,202512,202412
2358,Uralla (NSW),,,,,,,Cooks Hill,268.62,No Presence (20km+),,,202512,202412
2360,Inverell,,,,,,,Isle of Capri,289.3,No Presence (20km+),,,202512,202412
2361,Ashford (NSW),,,,,,,Isle of Capri,257.18,No Presence (20km+),,,202512,202412
2365,Guyra,,,,,,,Cooks Hill,301.84,No Presence (20km+),,,202512,202412
2369,Tingha,,,,,,,Isle of Capri,308.39,No Presence (20km+),,,202512,202412
2370,Glen Innes,,,,,,,Isle of Capri,243.03,No Presence (20km+),,,202512,202412
2372,Tenterfield,,,,,,,Isle of Capri,178.34,No Presence (20km+),,,202512,202412
2379,Goolhi,,,,,,,Orange,251.51,No Presence (20km+),,,202512,202412
