postcode,total_population,num_sa1s,state,median_age,median_personal_income_weekly,median_hh_income_weekly,median_rent_weekly,median_mortgage_monthly,median_family_income_weekly,avg_household_size,pct_high_income_hh,pct_degree,pct_professional,pct_wfh,labour_force_participation_pct,unemployment_pct,seifa_irsad_score,seifa_irsad_decile,n_degree_total,n_prof_managerial,n_wfh,hh_total
2093,24441,54,NSW,41.06,1248.94,3389.88,843.3,3706.36,3861.11,2.82,55.24,46.47,58.42,52.55,68.2,3.24,1103.28,9.59,8907,7337,6602,8668
2094,7119,16,NSW,41.01,1457.55,3157.36,683.41,3424.08,4217.8,2.43,54.04,50.6,65.22,56.49,68.16,3.22,1108.85,10.0,2990,2535,2200,2762
2095,16916,36,NSW,39.0,1586.47,3260.77,759.47,3511.84,4201.15,2.2,54.32,55.06,67.23,58.72,69.23,3.53,1100.9,9.98,8062,6567,5742,7212
2096,15193,37,NSW,37.92,1368.84,3071.38,672.48,3279.34,3594.93,2.53,53.61,46.24,57.49,49.88,72.51,2.79,1110.34,9.66,5795,5060,4394,5886
2097,16254,39,NSW,41.95,1069.67,2882.61,742.31,3158.66,3102.98,2.91,51.08,31.79,46.3,38.57,67.58,2.83,1098.81,8.39,4210,3959,3334,5507
2099,43545,109,NSW,39.62,1010.3,2445.66,626.27,2916.3,2745.66,2.66,42.28,32.89,42.67,34.93,67.88,3.47,1047.41,7.66,11823,10017,8158,16493
2100,24195,54,NSW,41.22,1058.94,2953.88,708.96,3285.49,3206.97,2.98,53.42,34.86,47.93,41.6,67.48,3.09,1084.73,8.38,6697,6031,5229,8029
2101,20644,45,NSW,44.29,1039.61,2458.05,635.99,3042.42,2836.98,2.65,43.62,29.9,45.02,38.25,63.41,2.87,1067.66,7.79,5045,4782,4026,7648
2102,8505,18,NSW,41.8,1061.18,2772.44,841.78,3087.23,2966.0,2.95,50.01,30.63,44.03,37.27,65.74,2.55,1090.32,8.29,2025,1920,1625,2756
2103,12168,27,NSW,46.65,1006.29,2448.2,710.52,3136.26,2894.74,2.66,44.11,29.68,45.25,38.14,61.14,3.49,1082.12,8.11,3005,2690,2260,4447
2104,4989,10,NSW,56.25,1002.42,2584.0,823.65,3546.86,3100.22,2.5,44.89,32.03,54.3,44.76,49.0,3.57,1089.35,9.08,1377,1114,919,1947
2105,2582,6,NSW,51.9,1185.18,3071.1,838.24,3327.98,3384.5,2.57,50.37,40.13,58.84,47.77,56.44,3.28,1106.83,9.91,886,703,572,949
2106,9644,23,NSW,45.99,1134.09,2766.17,705.38,2978.48,3151.28,2.63,48.17,35.87,49.65,41.3,65.82,3.17,1099.73,8.89,2924,2559,2135,3593
2107,15435,36,NSW,47.07,1053.25,2702.85,812.59,3329.65,2997.55,2.79,49.03,36.63,52.84,43.07,61.0,3.44,1103.81,9.17,4613,3890,3178,5319
2108,2268,7,NSW,57.47,1315.02,2758.44,814.29,3705.14,3475.11,2.27,49.62,42.21,59.38,45.7,51.65,3.43,1113.07,9.46,857,597,460,908
2110,9841,25,NSW,47.22,1262.52,3545.91,712.31,4705.58,4322.73,2.77,55.38,45.32,63.7,48.92,56.1,3.38,1110.6,9.94,3656,2798,2137,3213
2111,15457,38,NSW,41.18,1186.71,2652.19,577.55,3331.15,3301.68,2.52,46.02,43.47,57.62,48.35,66.28,3.29,1086.3,9.5,5582,4709,3974,6188
2112,39007,81,NSW,39.13,972.2,2247.53,544.95,2787.95,2623.74,2.62,39.89,43.27,50.9,43.76,64.12,4.53,1054.03,8.77,13972,10050,8641,14711
2113,29754,65,NSW,37.49,1029.97,2234.92,525.86,2605.47,2665.66,2.44,39.39,49.95,54.41,49.15,66.15,5.53,1062.31,9.24,12631,8742,7884,11446
2114,25290,57,NSW,38.11,973.73,2216.92,515.51,2561.88,2526.5,2.57,38.77,47.92,52.15,45.28,65.32,5.11,1056.72,9.1,10205,6885,5995,9831
